sim_index,success,n_nodes,n_elems,coverage_percent,almen_MPa,V,D_mm,n_shots,pattern_mode,elapsed_s,error
0,True,2601,2500,30.04378669078832,-1902.805376,47.2936590562509,0.4888506996347092,27,uniform,0.8359862000215799,
1,True,2601,2500,98.66899698196092,-5517.105152,42.91375686450898,0.9653245874281547,103,sparse,3.205396000004839,
2,True,2601,2500,29.685509143656187,-1815.539968,34.15642469872607,0.5089438003898863,65,uniform,1.9984902999713086,
3,True,2601,2500,33.05878005786012,-2860.801792,27.99772085002685,0.46576735461726976,107,gradient,3.3177112999837846,
4,True,2601,2500,80.37397988571449,-4070.068992,58.006963695032866,0.6579292869700533,117,uniform,3.583006499975454,
5,True,2601,2500,91.77779053230485,-7274.779136,53.17510233108831,0.8655585528155457,83,bimodal,2.5751838000142016,
6,True,2601,2500,60.78090714887397,-2453.42976,43.83575230151801,0.5402896088693369,86,bimodal,2.6404537999769673,
7,True,2601,2500,92.8412036906255,-4765.53216,46.87834133116334,0.928049660678703,104,bimodal,3.167961400002241,
8,True,2601,2500,93.08798419373652,-3658.35392,36.44402968119462,0.9910937903365479,84,random,2.5877722000004724,
9,True,2601,2500,57.515906842312184,-2533.660416,55.458722138952965,0.5007720463612887,87,random,2.6999359999899752,
10,True,2601,2500,39.32616082271603,-2414.570752,58.460059837014136,0.4453772670554028,71,uniform,2.197596100042574,
11,True,2601,2500,55.16400805368333,-1869.460736,29.499957096921985,0.6494945037080805,91,uniform,2.7578791999840178,
12,True,2601,2500,71.49899273488509,-2679.30624,33.77885603379561,0.9627270600015972,40,uniform,1.256449300039094,
13,True,2601,2500,95.71636526055714,-6081.802752,55.26791554558053,0.8987117604524414,115,bimodal,3.4468226000317372,
14,True,2601,2500,45.07274590135341,-2583.925248,54.0844161611189,0.5526626667839796,55,sparse,1.6533811999834143,
15,True,2601,2500,72.70637801603928,-2757.463552,49.246017878780336,0.8710719779352404,40,uniform,1.1815406999667175,
16,True,2601,2500,72.98099004626668,-4139.03872,44.84208936077778,0.6015209018431299,73,bimodal,2.1971751999808475,
17,True,2601,2500,47.94271844586926,-2899.826688,54.57761774792655,0.41268116381837483,96,bimodal,2.8763607000000775,
18,True,2601,2500,72.50594244723783,-2588.358144,38.975701922615045,0.8021902755017514,56,uniform,1.6867492000455968,
19,True,2601,2500,97.17566017802798,-3823.153408,39.71325785052413,0.9481085413716928,108,uniform,3.3179815000039525,
20,True,2601,2500,47.8951019536037,-1912.657792,34.80265869205557,0.6228026968620596,45,gradient,1.3359220999991521,
21,True,2601,2500,62.1872128462567,-2534.81856,52.33911560861148,0.7240929206996777,54,uniform,1.6188628999516368,
